COD INT,EXAMEN,MAQUILA,GENERAL,ALDAMA,APAC,ANGELES,AHASC MEDICAL,ASTROFLOORS,ANTONIMO,AJ TEAM TEST COVID,AJ LAB,ABRAN PASO,ASOCIACION COREANA DE MEXICO,AXEL VILLEGAS,ACCIONA MEXICO,BEATRIZ MARTINEZ,BIOLAB,BARDAHL,BIOSYSTEMS HLS,BM LAB,BIOMEDICA LOS ANGELES,BLIM,BIOGEMINIS,CITOLAB,CRUZ ROJA MEXICANA,LAB CASTILLO,CONTRAMAR,CINEMEX,CHAVI PRODUCTOR,CDMI,CILAB,CENTRAL FILMS,CONDUIT LIFE,CENTRO A.C. OMEGA,CASA HOGAR,CARE CHECK,CCL LABEL,CENTRO DE PATOLOGIA AVANZADA DE SONORA,COMONPIPOL TV,COMON PIPOL SEARS,COMERCIALIZADORA HGK,CRITI Q,COV MEDI,COMIDA CHINA LA FE,CONTROL NACIONAL DE URGENCIAS,CEBOLLA FILMS,COSS,DIAFER,DR. CESAR SALAS,DIAGONAL PRODUCCION,DR. POZOS,DIAGNOSTICO MOLECULAR,DORMAKABA,DRA. SUSANA ESCUTIA,DIAGNOSTICO LAB,DR. REYNOSO,DIAGNOLOGICA,DR. ALEJANDRO HAY,DRA. PAMELA PEREZ,DRA GABRIELA MONTERO,DENATBIO,DR. JOEL HUERTA,DIAGNOSTICO SAN MIGUEL,DRA. SILVIA MARGARITA ALVAREZ,DR. JUAN PABLO FEREGRINO,DRA. MARIA LUISA MENESES,DEMOLEDORES,DOCE 20 PRODUCCIONES,DRA ANA CELIA MENDOZA OCAMPO,EDISALAB,GRUPO EXPANSION,EMS SOLUCIONES,EDEMTEC,ELDAR,ERICK FRANCO,EN TU CASA SALUD,EMBAJADA DE LA REPUBLICA DE COREA EN MEXICO,ESPECIALIDADES COMERCIALES,FLORIDA SATELITE,FARMAMEDIC,FUNDACION TELETON,FARMACIA ADB,FLUIDRA MEXICO,PRODUCCIONES FABULA,FABRICA DE SAN MARTIN,GPROMASS,GBM,GRUPO FAR,GIA LAB,LAB. MEDICO GENESA,,GEMINIS,GDI,GRUPO MEDI,GRUPO MODELO,GERMAN SEVILLANO ZOE,GERARDO RANGEL,GRUPO GENOMICA MOLECULAR,GM LAB (CANCUN),ENF GUADALUPE HERNANDEZ GARZA,GRACIELA PEREZ GONZALEZ,HIGH TECH,HSAI UNIVERSIDAD,HSAI PATRIOTISMO,HONDA,HEMDECO,HUMBERTO ROJAS,HOSPITAL HMG COYOACAN,HECTOR SANTOS,HECTOR PENUNURI GARCIA,HOTBOOK,HEILER LABORATORIOS,LAB IZQUIERDO,IMAGEN,INMUNO Q,ISA,INOLAB,ILSP,ISAT,IDEARTTE,INSTITUTO NACIONAL DE MIGRACION,INFOCLINICS,JULIO CASTILLO,DR. KARIN,KNC LOGISTIC,KARINA VAZQUEZ,LABSIN,LAPCI,LAMBDAPI,LAB CLINICO COAPA,LAB 24 ETIOPIA,LAB CHIMALHUACAN,LAB NEZAHUALCOYOTL,LAB CIMA,LAGEM,LABORATORIO GENESIS,LABORATORIO SIGLO XXI,LITOPOS PRODUCCIONES IOU CELEBRITY 2,LABKOB,LIZBETH RIVERA,LABORATORIO MEDICO DE REFERENCIA CENSUR,DRA. LAURA PORTILLO TELLEZ,LLISA,LAB 24 ERMITA,LAB 24 PUENTE BLANCO,MDS,MORENO,MEDIC,MDT,MEDIAC,MOBASA,MARCO MKT,MSD MERK,MEDIC PLUS,MTV MÉXICO,MANUFACTURERA DE MEXICO,MEXORA LABORATORIOS CLINICOS,MEDICA PLUS,MKR,MAG MEDICA,MADRAZO STUDIO SC,NULA,NOTARIA 122,NOTARIA 97,NOTARIA 222,NOTARIA 201,NOVAPLASTIC,NEOMEDICA,NORDI QC,NANOPHARMACIA,NOMITEK,NUCLEO DE DIAGNOSTICO,LAB. OCHOA,OLARTE Y AKLE,ONEST VALLEJO,ORIENTAL FILMS,OSCAR SIMON,PROYECTO ORIENTAL FILMS,OCEAN MANAGEMENT MEXICO,ORIENTAL FILMS AM,PAP,SAN PATRICIO,PARTICULAR,LAB. PASTEUR,PARTICULAR ARA,PAUTA CREATIVA,PECSA,PRECISA,PIMIENTA FILMS,PROBION,PABLO DE LA VEGA ARIAS (ORIENTAL FILMS),PROYECTO PLAZA IZAZAGA,PABLO ISRAEL ESPINOLA ALCAZAR,QUICK TEST,RICLER,RED MEDICA,ROCA INMUEBLES,REPUBLICA SANTA PROYECTO KOTEX,REPUBLICA SANTA PROYECTO PRIME VIDEO,REPUBLICA SANTA (SANTOS FILMS),STAR MEDICA LOMAS VERDES,STAR MEDICA TLALNEPANTLA,SINDICATO DE MAESTROS,SOS HEALT CARE,SENOSIAIN,SAN MINA,SAN ISIDRO CUAUHTEMOC,SAN FRANCISCO CHIMALHUACAN,SAN ISIDRO XICO,SAN ISIDRO LOPEZ,SAN ISIDRO IZTAPALAPA,SONORA LABS,HOSPITAL MAC,SAN ISIDRO CHALCO,SERVICIOS HEMATOLOGICOS,SAN FRANCISCO CHIMALHUACAN,SAN ISIDRO HIDALGO,SAN FRANCISCO,STEREN,STAY SAFE,SAFE HEALTH,SEEGENE,SANDRA RIVAS,SEARS OPERADORA DE MEXICO S.A. DE C.V.,SMART TEST,SNIBE MEXICO,LAB. SANTA MONICA,SB FARMA,SANOVA LAB,SAMSUNG,SURROGACY MEXICO,SECTOR FILMS,TRAGALUZ,TMM,TAIFELDS,TSM,TOYOTA SARAGOZA,TERAN TBWA,TEZCA MEXICO,UNIFIN,UNIDAD CLINICA DIAGNOSTICA,UK NEQAS,SALUD VELAGO,VERTPHARMA,VITROCANCELES,25 KM PELICULA,20 DOCE PRODUCTORA,VALERIA ESPEJEL,VALERIA ASCENCIO,XINHUA,SAT,INTELNESIS,SALUD Y VIDA
1,Detección de HIV-I,,,,,,,,,,,,,,,,,,,,,,,,0,,,,, xxxxxxxx ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Detección de SARS CoV-2 ,1260,2310,1260,0,,1050,1293,,750,750,,750,1000,1100,,,1023.12,1260,1050,950,0,750,0,0,850,0,,,1,1100,1450,1260.6,0,,1050,1292,0,983,983,1293.1,850,750,1800,770,850,0,0,1050,,750,850,1972,2142,870,1023.12,,0,1461.6,1120.68,Por cotización,750,,950,,,1212,1000,0,700,,,Por cotización,2200,750,0,750,1100,750,1023.12,950,,,0,0,,,0,1000,870,,0,0,983,950,646,750,750,0,,950,2,2,,,1050,"1,375.00",750,800,800,750,0,2,,0,0,1250,1100,1350,1078,750,750,0,,750,1,,2,1,1050,750,1050,950,,1000,0,1050,0,750,750,0,1293.1,750,750,0,,,0,850,0,850,1400,850,1000,1293,1000,750,,750,0,0,,0,,0,,1050,0,,1100,990,,850,,1100,750,0,0,720,750,0,1656.4,0,,,2200,0,1100,750,100,1292,700,862,,0,1023.12,983,983,983,,Por cotización,,1000,1050,0,850,750,850,850,850,0,2,850,870,,850,,0,0,983,0,1200,800,646.55,1292.24,1260,730,730,1293,,0,0,,0,0,1293,,1700,0,0,1050,,,,950,950,1000,0,750,750,750,,
3,Carga viral de VIH,871.5,1260,871.5,,,1260,,,,,,,,,,,,,,0,,1065,,,1065.75,,,,1141,1276,,,,,1,,,,,,,,,,,,875,,,,1065.75,,,,,,,,,Por cotización,,,900,,,,,0,,,,,,,,,,,,,,,,0,,,,1065.75,0,,,,,,,,,,,,2,2,,,,"1,065.75",,,,,,2,,,,,,,,,,,,,,,2,1,,,,,0,0,,,,,,0,,,,,,,,1065.75,,1065.75,,1065.75,,,1065.75,,,,,,,,,,,,,,,871.5,0,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1065.75,,,1065.75,,1065.75,1065.75,1065.75,0,2,1065.75,,,1065.75,,,,,,,,,,871.5,871.5,,,,0,,,,,,,,,,1000,,,,,1050,,,1,1,1,,
4,Detección de HIV-II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
5,Prueba confirmatoria del Virus de Inmunodeficiencia Humana I y II ,787.5,997.5,787.5,,,997.5,,,,,,,,,,,,,,0,,892.5,,,892.5,,,,963,0,,,,,1,,,,,,,,,,,,,,,,892.5,,,,,,,,,,,,800,,,,,0,,,,,,,,,,,,,,,,0,,,,892.5,0,,,,,,,,,,,,2,2,,,,892.5,,,,,,2,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,0,,,,,,,,892.5,,892.5,,892.5,,,892.5,,,,,,,,,,,,,,,787.5,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,892.5,,,892.5,,892.5,892.5,892.5,0,2,892.5,,,892.5,,,,,,,,,,787.5,787.5,,,,0,,,,,,,,,,945,,,,,900,,,1,1,1,,
6,Detección de Hepatitis A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
7,Fenotipi/genotipi VIH (resist.farmacos),7000,9500,7000,,,9500,,,,,,,,,,,,,,0,,,,,8250,,,,10469,,,,,,1,,,,,,,,,,,,,,,,8250,,,,,,,,,,,,7500,,,,,0,,,,,,,,,,,,,,,,0,,,,8250,0,,,,,,,,,,,,2,2,,,,"8,250.00",,,,,,2,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,0,,,,,,,,8250,,8250,,8250,,,8250,,,,,,,,,,,,,,,7000,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,8250,,,8250,,8250,8250,8250,0,2,8250,,,8250,,,,,,,,,,,,,,,0,,,,,,,,,,8875,,,,,8199,,,1,1,1,,
8,Detección de Bordetella ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
9,"Antidoping 5 (Cocaína, Canabinoides, Anfetaminas, Metanfetaminas y Opiaceos)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
10,Prueba de embarazo ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
